Sample:float,Data:float
55000,643
55001,639
55002,638
55003,631
55004,634
55005,647
55006,648
55007,652
55008,655
55009,652
55010,653
55011,655
55012,662
55013,663
55014,664
55015,666
55016,664
55017,667
55018,660
55019,659
55020,671
55021,674
55022,670
55023,661
55024,663
55025,667
55026,662
55027,657
55028,656
55029,660
55030,664
55031,670
55032,672
55033,670
55034,667
55035,670
55036,671
55037,669
55038,668
55039,672
55040,678
55041,676
55042,682
55043,686
55044,681
55045,688
55046,694
55047,696
55048,702
55049,702
55050,705
55051,704
55052,702
55053,706
55054,700
55055,701
55056,700
55057,699
55058,704
55059,700
55060,703
55061,699
55062,700
55063,700
55064,692
55065,697
55066,691
55067,682
55068,693
55069,697
55070,690
55071,695
55072,699
55073,697
55074,693
55075,688
55076,683
55077,676
55078,677
55079,675
55080,669
55081,677
55082,680
55083,680
55084,676
55085,676
55086,679
55087,676
55088,679
55089,678
55090,680
55091,681
55092,675
55093,672
55094,673
55095,672
55096,669
55097,669
55098,669
55099,673
55100,673
55101,677
55102,674
55103,677
55104,683
55105,676
55106,678
55107,675
55108,677
55109,681
55110,671
55111,672
55112,668
55113,667
55114,670
55115,669
55116,672
55117,671
55118,672
55119,667
55120,663
55121,663
55122,672
55123,673
55124,672
55125,668
55126,668
55127,670
55128,670
55129,671
55130,666
55131,675
55132,683
55133,679
55134,679
55135,673
55136,677
55137,678
55138,672
55139,678
55140,674
55141,674
55142,676
55143,674
55144,675
55145,674
55146,676
55147,678
55148,676
55149,679
55150,675
55151,671
55152,673
55153,670
55154,676
55155,680
55156,676
55157,679
55158,678
55159,678
55160,686
55161,682
55162,689
55163,692
55164,685
55165,683
55166,677
55167,676
55168,673
55169,682
55170,693
55171,699
55172,704
55173,702
55174,701
55175,704
55176,707
55177,707
55178,698
55179,690
55180,698
55181,695
55182,694
55183,700
55184,688
55185,689
55186,689
55187,687
55188,693
55189,688
55190,687
55191,693
55192,692
55193,684
55194,683
55195,690
55196,690
55197,695
55198,696
55199,696
55200,700
55201,694
55202,688
55203,692
55204,693
55205,693
55206,695
55207,696
55208,693
55209,689
55210,696
55211,702
55212,694
55213,692
55214,689
55215,682
55216,684
55217,676
55218,677
55219,678
55220,676
55221,677
55222,679
55223,684
55224,681
55225,685
55226,686
55227,677
55228,678
55229,678
55230,679
55231,678
55232,665
55233,666
55234,677
55235,677
55236,678
55237,680
55238,683
55239,686
55240,678
55241,677
55242,676
55243,673
55244,673
55245,669
55246,670
55247,665
55248,666
55249,672
