Sample:float,Data:float
"11000.0","1.3762293E7"
"11001.0","1.3926128E7"
"11002.0","1.4024432E7"
"11003.0","1.4155501E7"
"11004.0","1.4286573E7"
"11005.0","1.4810868E7"
"11006.0","1.5105788E7"
"11007.0","1.5466249E7"
"11008.0","1.5957773E7"
"11009.0","1.631823E7"
"11010.0","1.6842532E7"
"11011.0","1.7399594E7"
"11012.0","1.772728E7"
"11013.0","1.81205E7"
"11014.0","1.8448182E7"
"11015.0","1.8546488E7"
"11016.0","1.8874173E7"
"11017.0","1.9103557E7"
"11018.0","1.9234636E7"
"11019.0","1.9464009E7"
"11020.0","1.9857229E7"
"11021.0","2.0315986E7"
"11022.0","2.0807512E7"
"11023.0","2.1299041E7"
"11024.0","2.1593956E7"
"11025.0","2.2019943E7"
"11026.0","2.2576996E7"
"11027.0","2.3101275E7"
"11028.0","2.3920472E7"
"11029.0","2.4411986E7"
"11030.0","2.4903499E7"
"11031.0","2.5427786E7"
"11032.0","2.5886532E7"
"11033.0","2.6443582E7"
"11034.0","2.6672954E7"
"11035.0","2.6836793E7"
"11036.0","2.7131701E7"
"11037.0","2.7197243E7"
"11038.0","2.7557697E7"
"11039.0","2.7754311E7"
"11040.0","2.7623247E7"
"11041.0","2.7983703E7"
"11042.0","2.8245861E7"
"11043.0","2.8376939E7"
"11044.0","2.8573555E7"
"11045.0","2.8770172E7"
"11046.0","2.9065091E7"
"11047.0","2.9032331E7"
"11048.0","2.9163405E7"
"11049.0","2.9392788E7"
"11050.0","2.9622174E7"
"11051.0","2.9818785E7"
"11052.0","2.9753252E7"
"11053.0","2.998263E7"
"11054.0","3.0146466E7"
"11055.0","3.0212004E7"
"11056.0","3.0212001E7"
"11057.0","3.0146463E7"
"11058.0","3.0113689E7"
"11059.0","2.9523856E7"
"11060.0","2.8966801E7"
"11061.0","2.8573587E7"
"11062.0","2.8016535E7"
"11063.0","2.7623315E7"
"11064.0","2.7393933E7"
"11065.0","2.6738573E7"
"11066.0","2.6509204E7"
"11067.0","2.6181531E7"
"11068.0","2.5886622E7"
"11069.0","2.5657247E7"
"11070.0","2.5395106E7"
"11071.0","2.5132964E7"
"11072.0","2.4641448E7"
"11073.0","2.424824E7"
"11074.0","2.3494581E7"
"11075.0","2.2839227E7"
"11076.0","2.2446014E7"
"11077.0","2.2020036E7"
"11078.0","2.1692364E7"
"11079.0","2.1168072E7"
"11080.0","2.0742082E7"
"11081.0","2.0611001E7"
"11082.0","2.0381614E7"
"11083.0","2.0283301E7"
"11084.0","2.0283298E7"
"11085.0","1.9955613E7"
"11086.0","1.9726227E7"
"11087.0","1.9595146E7"
"11088.0","1.949684E7"
"11089.0","1.9332998E7"
"11090.0","1.9103617E7"
"11091.0","1.9103609E7"
"11092.0","1.8841465E7"
"11093.0","1.8939768E7"
"11094.0","1.8841456E7"
"11095.0","1.8481006E7"
"11096.0","1.8546533E7"
"11097.0","1.8644821E7"
"11098.0","1.8841418E7"
"11099.0","1.8775868E7"
"11100.0","1.8710314E7"
"11101.0","1.8808609E7"
"11102.0","1.8808607E7"
"11103.0","1.9037975E7"
"11104.0","1.8906892E7"
"11105.0","1.877581E7"
"11106.0","1.8906871E7"
"11107.0","1.9005174E7"
"11108.0","1.9234548E7"
"11109.0","1.9332849E7"
"11110.0","1.9562222E7"
"11111.0","1.9824365E7"
"11112.0","2.018482E7"
"11113.0","2.0578039E7"
"11114.0","2.0840185E7"
"11115.0","2.100403E7"
"11116.0","2.1331712E7"
"11117.0","2.1528327E7"
"11118.0","2.1921552E7"
"11119.0","2.2380304E7"
"11120.0","2.2675214E7"
"11121.0","2.3002899E7"
"11122.0","2.3297822E7"
"11123.0","2.42481E7"
"11124.0","2.4837927E7"
"11125.0","2.5198376E7"
"11126.0","2.5919269E7"
"11127.0","2.6476327E7"
"11128.0","2.7131692E7"
"11129.0","2.7721519E7"
"11130.0","2.7885363E7"
"11131.0","2.8049206E7"
"11132.0","2.8180293E7"
"11133.0","2.8475215E7"
"11134.0","2.8770133E7"
"11135.0","2.8999518E7"
"11136.0","2.945827E7"
"11137.0","2.985149E7"
"11138.0","3.0048101E7"
"11139.0","3.0080874E7"
"11140.0","3.0179185E7"
"11141.0","3.0605174E7"
"11142.0","3.0867324E7"
"11143.0","3.093286E7"
"11144.0","3.0834562E7"
"11145.0","3.0703502E7"
"11146.0","3.0670729E7"
"11147.0","3.0211979E7"
"11148.0","2.9851533E7"
"11149.0","2.9196168E7"
"11150.0","2.8639117E7"
"11151.0","2.8376978E7"
"11152.0","2.7983764E7"
"11153.0","2.7459477E7"
"11154.0","2.7066266E7"
"11155.0","2.6541983E7"
"11156.0","2.6148768E7"
"11157.0","2.5755558E7"
"11158.0","2.5493422E7"
"11159.0","2.5001907E7"
"11160.0","2.4313797E7"
"11161.0","2.3920589E7"
"11162.0","2.3232466E7"
"11163.0","2.2839253E7"
"11164.0","2.2020056E7"
"11165.0","2.1266401E7"
"11166.0","2.0774883E7"
"11167.0","2.0250599E7"
"11168.0","1.9922919E7"
"11169.0","1.9464167E7"
"11170.0","1.9005409E7"
"11171.0","1.8382815E7"
"11172.0","1.8022376E7"
"11173.0","1.7891301E7"
"11174.0","1.7727464E7"
"11175.0","1.7596389E7"
"11176.0","1.7235935E7"
"11177.0","1.6941025E7"
"11178.0","1.6842718E7"
"11179.0","1.6547804E7"
"11180.0","1.6449494E7"
"11181.0","1.6580561E7"
"11182.0","1.6318414E7"
"11183.0","1.6383939E7"
"11184.0","1.6318398E7"
"11185.0","1.6416699E7"
"11186.0","1.6580526E7"
"11187.0","1.6318376E7"
"11188.0","1.6416681E7"
"11189.0","1.6416667E7"
"11190.0","1.6351112E7"
"11191.0","1.6482173E7"
"11192.0","1.6482166E7"
"11193.0","1.6547694E7"
"11194.0","1.6056158E7"
"11195.0","1.5957837E7"
"11196.0","1.6121653E7"
"11197.0","1.6056093E7"
"11198.0","1.6285449E7"
"11199.0","1.6219902E7"
"11200.0","1.6416506E7"
"11201.0","1.6580343E7"
"11202.0","1.6645879E7"
"11203.0","1.6842481E7"
"11204.0","1.7137393E7"
"11205.0","1.7268467E7"
"11206.0","1.7202926E7"
"11207.0","1.7268458E7"
"11208.0","1.739953E7"
"11209.0","1.7334003E7"
"11210.0","1.7399551E7"
"11211.0","1.7596163E7"
"11212.0","1.776001E7"
"11213.0","1.802216E7"
"11214.0","1.8054932E7"
"11215.0","1.8349853E7"
"11216.0","1.8677541E7"
"11217.0","1.8710315E7"
"11218.0","1.9037997E7"
"11219.0","1.9300144E7"
"11220.0","1.9234615E7"
"11221.0","1.9365686E7"
"11222.0","1.9496756E7"
"11223.0","1.9857203E7"
"11224.0","2.0086576E7"
"11225.0","2.0381485E7"
"11226.0","2.0578089E7"
"11227.0","2.0774696E7"
"11228.0","2.1233447E7"
"11229.0","2.1495595E7"
"11230.0","2.2118192E7"
"11231.0","2.2314803E7"
"11232.0","2.2347582E7"
"11233.0","2.2544193E7"
"11234.0","2.2544196E7"
"11235.0","2.2806346E7"
"11236.0","2.3101254E7"
"11237.0","2.3297871E7"
"11238.0","2.3461717E7"
"11239.0","2.3494483E7"
"11240.0","2.3887708E7"
"11241.0","2.4411996E7"
"11242.0","2.4477532E7"
"11243.0","2.4444761E7"
"11244.0","2.4379222E7"
"11245.0","2.4444758E7"
"11246.0","2.4772437E7"
"11247.0","2.477244E7"
"11248.0","2.4772438E7"
"11249.0","2.4543065E7"
"11250.0","2.4313685E7"
"11251.0","2.4018768E7"
"11252.0","2.405154E7"
"11253.0","2.4477523E7"
"11254.0","2.4379223E7"
"11255.0","2.4412003E7"
"11256.0","2.4215405E7"
"11257.0","2.4084349E7"
"11258.0","2.4248206E7"
"11259.0","2.3789461E7"
"11260.0","2.3789476E7"
"11261.0","2.3756725E7"
"11262.0","2.3494591E7"
"11263.0","2.3592901E7"
"11264.0","2.3396297E7"
"11265.0","2.3068617E7"
"11266.0","2.2970315E7"
"11267.0","2.290478E7"
"11268.0","2.2904783E7"
"11269.0","2.2839247E7"
"11270.0","2.2806476E7"
"11271.0","2.267541E7"
"11272.0","2.2347732E7"
"11273.0","2.2118362E7"
"11274.0","2.1954534E7"
"11275.0","2.1659627E7"
"11276.0","2.1430251E7"
"11277.0","2.1004271E7"
"11278.0","2.0447212E7"
"11279.0","2.0348907E7"
"11280.0","2.0119537E7"
"11281.0","2.0316136E7"
"11282.0","2.0512738E7"
"11283.0","2.067657E7"
"11284.0","2.0971467E7"
"11285.0","2.1331908E7"
"11286.0","2.1823422E7"
"11287.0","2.2052788E7"
"11288.0","2.2314916E7"
"11289.0","2.1987226E7"
"11290.0","2.16923E7"
"11291.0","2.1757831E7"
"11292.0","2.1987202E7"
"11293.0","2.2413178E7"
"11294.0","2.2577015E7"
"11295.0","2.2708074E7"
"11296.0","2.2937442E7"
"11297.0","2.3068513E7"
"11298.0","2.3658338E7"
"11299.0","2.4280929E7"
"11300.0","2.4477526E7"
"11301.0","2.4870734E7"
"11302.0","2.4870732E7"
"11303.0","2.5034574E7"
"11304.0","2.5198419E7"
"11305.0","2.5427802E7"
"11306.0","2.5886554E7"
"11307.0","2.5952098E7"
"11308.0","2.6148715E7"
"11309.0","2.6279787E7"
"11310.0","2.6476404E7"
"11311.0","2.6836868E7"
"11312.0","2.7066253E7"
"11313.0","2.7492255E7"
