Sample:float,Data:float
"22000.0","1.1081834E7"
"22001.0","9443417.0"
"22002.0","8198218.0"
"22003.0","7477296.0"
"22004.0","6494248.0"
"22005.0","6625313.0"
"22006.0","6166561.0"
"22007.0","5511212.0"
"22008.0","5183536.0"
"22009.0","4528179.0"
"22010.0","3872807.0"
"22011.0","2824221.0"
"22012.0","1513493.0"
"22013.0","137218.0"
"22014.0","-583692.0"
"22015.0","-780323.0"
"22016.0","-1042492.0"
"22017.0","-1763409.0"
"22018.0","-2418786.0"
"22019.0","-3401827.0"
"22020.0","-4450404.0"
"22021.0","-5695590.0"
"22022.0","-6744168.0"
"22023.0","-7989361.0"
"22024.0","-9627775.0"
"22025.0","-1.1069583E7"
"22026.0","-1.2576923E7"
"22027.0","-1.3363368E7"
"22028.0","-1.4477489E7"
"22029.0","-1.5394997E7"
"22030.0","-1.578823E7"
"22031.0","-1.7098962E7"
"22032.0","-1.8016464E7"
"22033.0","-1.8540748E7"
"22034.0","-1.926163E7"
"22035.0","-1.9982514E7"
"22036.0","-2.1227687E7"
"22037.0","-2.2407329E7"
"22038.0","-2.3914663E7"
"22039.0","-2.5553068E7"
"22040.0","-2.6929329E7"
"22041.0","-2.9223089E7"
"22042.0","-3.0664875E7"
"22043.0","-3.1778972E7"
"22044.0","-3.3155215E7"
"22045.0","-3.3941642E7"
"22046.0","-3.5448951E7"
"22047.0","-3.5842145E7"
"22048.0","-3.675963E7"
"22049.0","-3.7546041E7"
"22050.0","-3.7873704E7"
"22051.0","-3.8856721E7"
"22052.0","-3.8791164E7"
"22053.0","-3.9053284E7"
"22054.0","-3.9643077E7"
"22055.0","-4.01018E7"
"22056.0","-4.042944E7"
"22057.0","-4.0822616E7"
"22058.0","-4.1871153E7"
"22059.0","-4.2788613E7"
"22060.0","-4.3312869E7"
"22061.0","-4.4623555E7"
"22062.0","-4.593424E7"
"22063.0","-4.7441543E7"
"22064.0","-4.8555629E7"
"22065.0","-4.8752216E7"
"22066.0","-5.0193986E7"
"22067.0","-5.1373604E7"
"22068.0","-5.1832316E7"
"22069.0","-5.2487635E7"
"22070.0","-5.2749746E7"
"22071.0","-5.3142924E7"
"22072.0","-5.3470565E7"
"22073.0","-5.4256958E7"
"22074.0","-5.5567631E7"
"22075.0","-5.6485094E7"
"22076.0","-5.7468084E7"
"22077.0","-5.7730185E7"
"22078.0","-5.8319979E7"
"22079.0","-5.8647623E7"
"22080.0","-5.8909731E7"
"22081.0","-5.8975223E7"
"22082.0","-5.8254281E7"
"22083.0","-5.8319767E7"
"22084.0","-5.7992032E7"
"22085.0","-5.7598769E7"
"22086.0","-5.858175E7"
"22087.0","-5.8909379E7"
"22088.0","-5.9302538E7"
"22089.0","-5.9368011E7"
"22090.0","-5.8843677E7"
"22091.0","-5.8778093E7"
"22092.0","-5.8253759E7"
"22093.0","-5.8057106E7"
"22094.0","-5.7598307E7"
"22095.0","-5.6680744E7"
"22096.0","-5.668068E7"
"22097.0","-5.5697582E7"
"22098.0","-5.4648945E7"
"22099.0","-5.399352E7"
"22100.0","-5.3600243E7"
"22101.0","-5.3534634E7"
"22102.0","-5.3075817E7"
"22103.0","-5.2420404E7"
"22104.0","-5.1699459E7"
"22105.0","-5.1175132E7"
"22106.0","-5.0650789E7"
"22107.0","-4.9536629E7"
"22108.0","-4.8815681E7"
"22109.0","-4.6915079E7"
"22110.0","-4.4752341E7"
"22111.0","-4.3048349E7"
"22112.0","-4.1344368E7"
"22113.0","-4.0230208E7"
"22114.0","-3.8591755E7"
"22115.0","-3.7346521E7"
"22116.0","-3.6297893E7"
"22117.0","-3.4790531E7"
"22118.0","-3.3807451E7"
"22119.0","-3.3020986E7"
"22120.0","-3.1579161E7"
"22121.0","-3.0071794E7"
"22122.0","-2.7909078E7"
"22123.0","-2.5746353E7"
"22124.0","-2.3387017E7"
"22125.0","-2.1683045E7"
"22126.0","-2.0765503E7"
"22127.0","-1.9323671E7"
"22128.0","-1.7488618E7"
"22129.0","-1.5915721E7"
"22130.0","-1.5456938E7"
"22131.0","-1.4080653E7"
"22132.0","-1.2376696E7"
"22133.0","-1.1000412E7"
"22134.0","-9427529.0"
"22135.0","-7395889.0"
"22136.0","-5298711.0"
"22137.0","-3398144.0"
"22138.0","-1694181.0"
"22139.0","-186834.0"
"22140.0","992832.0"
"22141.0","2238042.0"
"22142.0","3679858.0"
"22143.0","5056136.0"
"22144.0","7349912.0"
