Sample:float,Data:float
66000,-361
66001,-376
66002,-373
66003,-370
66004,-366
66005,-365
66006,-360
66007,-346
66008,-358
66009,-351
66010,-339
66011,-344
66012,-352
66013,-351
66014,-348
66015,-354
66016,-354
66017,-340
66018,-337
66019,-333
66020,-320
66021,-329
66022,-330
66023,-319
66024,-313
66025,-319
66026,-321
66027,-310
66028,-308
66029,-311
66030,-332
66031,-334
66032,-317
66033,-321
66034,-309
66035,-310
66036,-315
66037,-307
66038,-321
66039,-334
66040,-325
66041,-329
66042,-330
66043,-313
66044,-306
66045,-298
66046,-282
66047,-269
66048,-272
66049,-284
66050,-279
66051,-286
66052,-298
66053,-295
66054,-293
66055,-284
66056,-288
66057,-300
66058,-297
66059,-307
66060,-301
66061,-299
66062,-308
66063,-300
66064,-310
66065,-320
66066,-318
66067,-314
66068,-290
66069,-301
66070,-299
66071,-289
66072,-301
66073,-300
66074,-299
66075,-296
66076,-305
66077,-312
66078,-299
66079,-289
66080,-307
66081,-301
66082,-307
66083,-314
66084,-308
66085,-316
66086,-304
66087,-300
66088,-289
66089,-291
66090,-303
66091,-332
66092,-352
66093,-332
66094,-324
66095,-327
66096,-314
66097,-322
66098,-340
66099,-339
66100,-338
66101,-345
66102,-367
66103,-373
66104,-365
66105,-365
66106,-360
66107,-359
66108,-362
66109,-364
66110,-373
66111,-364
66112,-360
66113,-350
66114,-334
66115,-321
66116,-316
66117,-323
66118,-326
66119,-331
66120,-332
66121,-325
66122,-337
66123,-359
66124,-366
66125,-371
66126,-371
66127,-368
66128,-369
66129,-370
66130,-375
66131,-383
66132,-390
66133,-379
66134,-365
66135,-357
66136,-357
66137,-362
66138,-352
66139,-349
66140,-367
66141,-380
66142,-366
66143,-357
66144,-369
66145,-370
66146,-352
66147,-346
66148,-347
66149,-334
66150,-332
66151,-339
66152,-339
66153,-357
66154,-352
66155,-346
66156,-354
66157,-338
66158,-349
66159,-350
66160,-339
66161,-344
66162,-332
66163,-342
66164,-345
66165,-339
66166,-341
66167,-330
66168,-330
66169,-338
66170,-337
66171,-337
66172,-341
66173,-339
66174,-333
66175,-327
66176,-331
66177,-330
66178,-333
66179,-339
66180,-315
66181,-321
66182,-327
66183,-319
66184,-326
66185,-316
66186,-315
66187,-315
66188,-304
66189,-308
66190,-320
66191,-327
66192,-337
66193,-331
66194,-324
66195,-332
66196,-328
66197,-328
66198,-325
66199,-338
66200,-353
66201,-355
66202,-358
66203,-347
66204,-343
66205,-339
66206,-333
66207,-341
66208,-349
66209,-365
66210,-371
66211,-355
66212,-355
66213,-360
66214,-358
66215,-352
66216,-354
66217,-349
66218,-347
66219,-346
66220,-351
66221,-360
66222,-355
66223,-351
66224,-354
66225,-358
66226,-363
66227,-359
66228,-356
66229,-361
66230,-363
66231,-365
66232,-370
66233,-375
66234,-366
66235,-345
66236,-341
66237,-360
66238,-369
66239,-377
66240,-362
66241,-346
66242,-359
66243,-363
66244,-370
66245,-373
66246,-366
66247,-372
66248,-366
66249,-360
66250,-356
66251,-347
66252,-363
66253,-369
66254,-364
66255,-373
66256,-388
66257,-403
66258,-409
66259,-412
66260,-427
66261,-420
66262,-417
66263,-428
66264,-409
66265,-412
66266,-415
66267,-424
66268,-430
66269,-415
66270,-406
66271,-395
66272,-401
66273,-402
66274,-392
66275,-383
66276,-380
66277,-369
66278,-368
66279,-370
66280,-371
66281,-372
66282,-365
66283,-385
66284,-397
66285,-403
66286,-411
66287,-394
66288,-390
66289,-388
66290,-386
66291,-392
66292,-389
66293,-388
66294,-371
66295,-361
66296,-365
66297,-353
66298,-357
66299,-365
66300,-360
66301,-360
66302,-338
66303,-320
66304,-333
66305,-344
66306,-345
66307,-323
66308,-302
66309,-305
66310,-305
66311,-316
66312,-322
66313,-327
66314,-336
66315,-337
66316,-336
66317,-324
66318,-316
66319,-316
66320,-313
66321,-331
66322,-345
66323,-340
66324,-354
66325,-362
66326,-356
66327,-345
66328,-345
66329,-347
66330,-345
66331,-349
66332,-339
66333,-337
66334,-347
66335,-348
66336,-346
66337,-347
66338,-335
66339,-323
66340,-320
66341,-318
66342,-322
66343,-317
66344,-310
66345,-313
66346,-306
66347,-314
66348,-317
66349,-319
66350,-331
66351,-332
66352,-333
66353,-330
66354,-339
66355,-336
66356,-321
66357,-315
66358,-318
66359,-318
66360,-325
66361,-328
66362,-326
66363,-333
66364,-339
66365,-338
66366,-323
66367,-314
66368,-325
66369,-334
66370,-338
66371,-345
66372,-348
66373,-339
66374,-337
66375,-352
66376,-357
66377,-371
66378,-367
66379,-361
66380,-368
66381,-361
66382,-362
66383,-364
66384,-373
66385,-377
66386,-375
66387,-383
66388,-371
66389,-362
66390,-385
66391,-390
66392,-392
66393,-381
66394,-382
66395,-388
66396,-372
66397,-359
66398,-339
66399,-328
66400,-340
66401,-344
66402,-342
66403,-334
66404,-322
66405,-336
66406,-327
66407,-307
66408,-321
66409,-339
66410,-353
66411,-360
66412,-356
66413,-360
66414,-362
66415,-355
66416,-341
66417,-330
66418,-320
66419,-306
66420,-305
66421,-301
66422,-316
66423,-327
66424,-327
66425,-336
66426,-316
66427,-293
66428,-304
66429,-299
66430,-288
66431,-304
66432,-312
66433,-325
66434,-325
66435,-340
66436,-349
66437,-332
66438,-330
66439,-329
66440,-327
66441,-314
66442,-307
66443,-315
66444,-311
66445,-318
66446,-317
66447,-304
66448,-316
66449,-307
66450,-298
66451,-300
66452,-304
66453,-308
66454,-294
66455,-290
66456,-297
66457,-308
66458,-307
66459,-303
66460,-317
66461,-309
66462,-291
66463,-283
66464,-270
66465,-268
66466,-268
66467,-275
66468,-280
66469,-278
66470,-279
66471,-290
66472,-297
66473,-309
66474,-315
66475,-306
66476,-310
66477,-297
66478,-295
66479,-302
66480,-297
66481,-306
66482,-304
66483,-297
66484,-285
66485,-288
66486,-309
66487,-311
66488,-326
66489,-336
66490,-342
66491,-348
66492,-338
66493,-321
66494,-335
66495,-342
66496,-331
66497,-347
66498,-349
66499,-348
66500,-353
66501,-354
66502,-351
66503,-349
66504,-360
66505,-350
66506,-346
66507,-354
66508,-350
66509,-351
66510,-358
66511,-365
66512,-361
66513,-356
66514,-368
66515,-359
66516,-345
66517,-348
66518,-347
66519,-353
66520,-357
66521,-344
66522,-338
66523,-341
66524,-338
66525,-338
66526,-343
66527,-346
66528,-345
66529,-341
66530,-346
66531,-352
66532,-346
66533,-343
66534,-356
66535,-356
66536,-348
66537,-360
66538,-357
66539,-356
66540,-348
66541,-336
66542,-344
66543,-339
66544,-338
66545,-331
66546,-335
66547,-333
66548,-331
66549,-331
66550,-315
66551,-308
66552,-305
66553,-311
66554,-310
66555,-306
66556,-311
66557,-322
66558,-328
66559,-335
66560,-333
66561,-328
66562,-323
66563,-308
66564,-309
66565,-316
66566,-315
66567,-312
66568,-301
66569,-305
66570,-316
66571,-313
66572,-320
66573,-312
66574,-285
66575,-288
66576,-305
66577,-313
66578,-316
66579,-313
66580,-313
66581,-302
66582,-301
66583,-303
66584,-288
66585,-283
66586,-285
66587,-279
66588,-280
66589,-278
66590,-278
66591,-287
66592,-277
66593,-276
66594,-279
66595,-279
66596,-284
66597,-276
66598,-279
66599,-272
66600,-263
66601,-264
66602,-249
66603,-247
66604,-250
66605,-265
66606,-268
66607,-262
66608,-264
66609,-255
66610,-262
66611,-253
66612,-235
66613,-239
66614,-231
66615,-234
66616,-240
66617,-241
66618,-249
66619,-263
66620,-252
66621,-244
66622,-249
66623,-237
66624,-243
66625,-236
66626,-229
66627,-233
66628,-243
66629,-240
66630,-241
66631,-268
66632,-264
66633,-260
66634,-257
66635,-257
66636,-267
66637,-255
66638,-240
66639,-248
66640,-266
66641,-276
66642,-282
66643,-279
66644,-283
66645,-284
66646,-287
66647,-282
66648,-290
66649,-313
66650,-315
66651,-331
66652,-330
66653,-316
66654,-320
66655,-318
66656,-327
66657,-326
66658,-331
66659,-336
66660,-338
66661,-348
66662,-346
66663,-355
66664,-350
66665,-336
66666,-345
66667,-353
66668,-344
66669,-341
66670,-339
66671,-345
66672,-352
66673,-365
66674,-376
66675,-362
66676,-356
66677,-353
66678,-353
66679,-342
66680,-318
66681,-321
66682,-330
66683,-332
66684,-323
66685,-308
66686,-315
66687,-326
66688,-334
66689,-342
66690,-345
66691,-340
66692,-332
66693,-323
66694,-324
66695,-324
66696,-324
66697,-325
66698,-302
66699,-304
66700,-313
66701,-308
66702,-308
66703,-319
66704,-327
66705,-317
66706,-309
66707,-309
66708,-314
66709,-319
66710,-325
66711,-318
66712,-307
66713,-297
66714,-302
66715,-308
66716,-301
66717,-296
66718,-280
66719,-279
66720,-287
66721,-278
66722,-288
66723,-283
66724,-280
66725,-288
66726,-261
66727,-242
66728,-229
66729,-225
66730,-237
66731,-238
66732,-239
66733,-242
66734,-251
66735,-257
66736,-256
66737,-253
66738,-248
66739,-256
66740,-268
66741,-256
66742,-255
66743,-261
66744,-258
66745,-267
66746,-259
66747,-265
66748,-262
66749,-264
66750,-283
66751,-276
66752,-278
66753,-285
66754,-287
66755,-284
66756,-287
66757,-282
66758,-281
66759,-291
66760,-289
66761,-287
66762,-287
66763,-280
66764,-280
66765,-282
66766,-289
66767,-302
66768,-301
66769,-290
66770,-295
66771,-307
66772,-324
